	EntryID	Headword	Origin language	Lemma synonym
5352	d2e361027Meyers-1905	Besemschon	holländ	bezemschoon
5367	d2e361937Meyers-1905	Besprengung	lat	Aspersio
5380	d2e363243Meyers-1905	Bestĭe	lat	Bestia
5413	d2e364994Meyers-1905	Beton	franz	béton
5435	d2e367659Meyers-1905	Beute [1]	lat	Praeda
5435	d2e367659Meyers-1905	Beute [1]	franz	Butin
5435	d2e367659Meyers-1905	Beute [1]	engl	Booty
5486	d2e372611Meyers-1905	Bezoar	pers	bâd sahr
5522	d2e374393Meyers-1905	Bibel	griech	Biblia
5526	d2e374975Meyers-1905	Biber [2]	engl	Beavers
5615	d2e381673Meyers-1905	Bigāti	lat	sc nummi
5630	d2e382170Meyers-1905	Bigott	engl	bigot
5642	d2e382699Meyers-1905	Bikuspidālklappe	lat	bi
5643	d2e382737Meyers-1905	Bilâd	arab	beled
5645	d2e382771Meyers-1905	Bilanz	franz	balance
5645	d2e382771Meyers-1905	Bilanz	ital	bilancia
5652	d2e383244Meyers-1905	Bilderreime	lat	Carmina figurata
5671	d2e385509Meyers-1905	Bill [2]	neulat	billa
5677	d2e386079Meyers-1905	Billigkeit	lat	Aequitas
5693	d2e386849Meyers-1905	Bimsstein	lat	Pumex
5701	d2e387171Meyers-1905	Bindegewebsgeschwulst	lat	Fibroma
5715	d2e388436Meyers-1905	Binokel	franz	binocle
5719	d2e388803Meyers-1905	Bio...	griech	bios
5751	d2e389927Meyers-1905	Birēt	lat	Birētum Birretum
5773	d2e392233Meyers-1905	Birschen	altfranz	berser
5787	d2e393159Meyers-1905	Bischof [1]	griech	episkopos
5809	d2e394225Meyers-1905	Biskuit	ital	Biscotto
5809	d2e394225Meyers-1905	Biskuit	mittellat	biscoctus
5809	d2e394225Meyers-1905	Biskuit	engl	Cakes
5833	d2e396523Meyers-1905	Bittermittel	lat	Amara
5840	d2e396995Meyers-1905	Biwak	franz	Bivouac
5842	d2e397132Meyers-1905	Bizarr	franz	bizarre
5842	d2e397132Meyers-1905	Bizarr	ital	bizzarro
5863	d2e398320Meyers-1905	Blackfeet	franz	Pieds noirs
