	EntryID	Headword	terms	origin
50511	d2e3505747Meyers-1905	Steppe	['stepj']	['v. russ']
50517	d2e3506308Meyers-1905	Stēr [2]	['stereós']	['v. griech']
50524	d2e3506947Meyers-1905	Stereo...	['stereós']	['v. griech']
50606	d2e3514592Meyers-1905	Stiefel [1]	['stivale', 'aestivale']	['v. ital']
50621	d2e3515995Meyers-1905	Stikine	['stakina']	['vom indian']
50984	d2e3545325Meyers-1905	Stundisten	[]	['v. deutschen']
51136	d2e3553458Meyers-1905	Südbahn, Österreichische	[]	['v. Südbahngesellschaft']
51200	d2e3557116Meyers-1905	Sukkŭba	['succubare']	['v. lat']
51425	d2e3568067Meyers-1905	Swadeshi	['svayam', 'desha']	['vom sanskrit']
51477	d2e3570496Meyers-1905	Sylt	[]	['v. altfries']
51509	d2e3572570Meyers-1905	Synallagmatische Verträge	['synallássein']	['v. griech']
51722	d2e3580523Meyers-1905	Tabor [2]	['thâbûr']	['v. türk']
51726	d2e3580765Meyers-1905	Tabulārersitzung	['tabula']	['v. lat']
51854	d2e3588370Meyers-1905	Tallymann	['tally']	['v. engl']
51872	d2e3589349Meyers-1905	Tambour	[]	['vom pers']
51929	d2e3592936Meyers-1905	Tânsîmât	['tansîm', 'nisâm']	['v. arab']
51932	d2e3593125Meyers-1905	Tante	['ante', 'aunt']	['vom altfranz']
51949	d2e3593986Meyers-1905	Tapēten	['tapes', 'tapetam', 'tapis']	['v. griech']
52001	d2e3596870Meyers-1905	Tarnkappe	['tarnan']	['v. altd']
52057	d2e3600557Meyers-1905	Tätowieren	['tatau']	['vom tahit']
52215	d2e3612942Meyers-1905	Telĕologie	['telos']	['v. griech']
52342	d2e3619527Meyers-1905	Teratologie	['téras']	['v. griech']
52368	d2e3620583Meyers-1905	Termīn	['terminus']	['v. lat']
52394	d2e3622076Meyers-1905	Terrakotta	['terra cotta']	['v. ital']
52395	d2e3622218Meyers-1905	Terramaren	['terra marna']	['v. ital']
52454	d2e3624554Meyers-1905	Testakte	['test']	['v. engl']
52570	d2e3632068Meyers-1905	Theben [2]	[]	['v. slowak']
52671	d2e3638578Meyers-1905	Thioalkohol	['theion']	['v. griech']
52811	d2e3651471Meyers-1905	Tigris [2]	['tigra']	['v. altpers']
52856	d2e3654292Meyers-1905	Tinte	['tinta', 'tingĕre']	['v. ital', 'v. lat']
52938	d2e3659994Meyers-1905	Tockieren	['toccare']	['v. ital']
