	EntryID	Headword	order
402	d2e1949162Meyers-1905	Kommission	Schiffahrtsverhältnisse
403	d2e1953067Meyers-1905	Kompositen	Aggregaten
404	d2e1956295Meyers-1905	Konfervazeen	Grünalgen
405	d2e1962064Meyers-1905	Konjugāten	Algen
406	d2e1962647Meyers-1905	Konkordāt	gesamten Verhältnisses
407	d2e1963750Meyers-1905	Konnarazeen	Terebinthinen
408	d2e1967744Meyers-1905	Konstitution [1]	Staatshaushalts
409	d2e1969122Meyers-1905	Kontakt	Berührung
410	d2e1969122Meyers-1905	Kontakt	Berührung
411	d2e1973843Meyers-1905	Konvolvulazeen	Tubifloren
412	d2e1980073Meyers-1905	Korallineen	Florideen
413	d2e1981012Meyers-1905	Kordaïtazeen	Kordaïtalen
414	d2e1981648Meyers-1905	Korea	Geldwesens
415	d2e1983570Meyers-1905	Kornazeen	Umbellifloren
416	d2e1986791Meyers-1905	Korrektor	Statthalter
417	d2e1994661Meyers-1905	Krabben [1]	Schildkrebse
418	d2e1994890Meyers-1905	Krabbentaucher	Schwimmvögel
419	d2e1998991Meyers-1905	Kranich [2]	Watvögel
420	d2e2002814Meyers-1905	Krassulazeen	Saxifraginen
421	d2e2005569Meyers-1905	Krebse	Schildkrebse
422	d2e2006295Meyers-1905	Kredīt	Kreditrechts
423	d2e2007670Meyers-1905	Kreideformation	Dinosaurier
424	d2e2009171Meyers-1905	Kreiskiemer	Vorderkiemer
425	d2e2010779Meyers-1905	Kreodonten	Säugetiere
426	d2e2015083Meyers-1905	Kreuzspinne	Webespinnen
427	d2e2025895Meyers-1905	Krokodile [1]	Reptilien
428	d2e2029391Meyers-1905	Kröten	Frösche
429	d2e2032192Meyers-1905	Kruzifēren	Rhöadinen
430	d2e2033044Meyers-1905	Kryptopentameren	Käfer
431	d2e2033155Meyers-1905	Kryptotetrameren	Käfer
432	d2e2039445Meyers-1905	Kukurbitazeen	Kampanulinen
433	d2e2052135Meyers-1905	Kupulifēren	Amentazeen
434	d2e2064927Meyers-1905	Labĭaten	Nuculiferen
435	d2e2069377Meyers-1905	Lactarĭus	Hymenomyzeten
436	d2e2078546Meyers-1905	Lamantin	Wale
437	d2e2078546Meyers-1905	Lamantin	Sirenen
438	d2e2080861Meyers-1905	Laminarĭa	Braunalgen
439	d2e2081527Meyers-1905	Lamnungĭa	Säugetiere
440	d2e2086098Meyers-1905	Landgemeindeordnung	Ortspolizei
441	d2e2096165Meyers-1905	Langhänder	Vögel
442	d2e2109565Meyers-1905	Laubheuschrecken	Geradflügler
443	d2e2111972Meyers-1905	Laufvögel	Vögel
444	d2e2112659Meyers-1905	Laurazeen	Polycarpicae
445	d2e2114084Meyers-1905	Läuse	Halbflügler
446	d2e2122548Meyers-1905	Leberegel	Saugwürmer
447	d2e2125221Meyers-1905	Lecythidazeen	Myrtifloren
448	d2e2126691Meyers-1905	Ledertange	Braunalgen
449	d2e2132492Meyers-1905	Lehramtsprüfungen	Prüfungen
450	d2e2133196Meyers-1905	Lehrfreiheit	Staates
451	d2e2136936Meyers-1905	Leierschwanz	Sperlingsvögel
452	d2e2142899Meyers-1905	Lemnazeen	Spathifloren
