	EntryID	headword	compound
1104	d2e136077Herder-1854	Czar	Czarewitsch
1125	d2e137208Herder-1854	Daler	Kupferdaler
1126	d2e137208Herder-1854	Daler	Reichsdaler
1127	d2e137361Herder-1854	Dam	Damme
1128	d2e137485Herder-1854	Dame	Damenstift
1129	d2e137684Herder-1854	Damm [3]	Dammschen
1131	d2e137710Herder-1854	Dammar	Dammarharz
1132	d2e137837Herder-1854	Dampf	Verdampfung
1133	d2e137837Herder-1854	Dampf	Verdampfen
1134	d2e137908Herder-1854	Dampfmaschine	Dampfmaschinenlehre
1135	d2e138016Herder-1854	Dan [1]	Jordanquellen
1136	d2e138549Herder-1854	Danzig	Danziger
1137	d2e138564Herder-1854	Daphne [1]	Daphnearten
1138	d2e138888Herder-1854	Darm	Mastdarm
1139	d2e138888Herder-1854	Darm	Leerdarm
1140	d2e138888Herder-1854	Darm	Darmkanal
1141	d2e138888Herder-1854	Darm	Dickdarm
1142	d2e138888Herder-1854	Darm	Krummdarm
1143	d2e138888Herder-1854	Darm	Darmkanals
1144	d2e138888Herder-1854	Darm	Dickdarms
1145	d2e138888Herder-1854	Darm	Dünndarms
1146	d2e138888Herder-1854	Darm	Dünndarme
1147	d2e138888Herder-1854	Darm	Dünndarm
1148	d2e138888Herder-1854	Darm	Zwölffingerdarm
1149	d2e138888Herder-1854	Darm	Grimmdarm
1150	d2e138989Herder-1854	Darre	Malzdarren
1151	d2e138989Herder-1854	Darre	Rauchdarren
1152	d2e138989Herder-1854	Darre	Obstdarren
1153	d2e138989Herder-1854	Darre	Hanfdarren
1154	d2e138989Herder-1854	Darre	Holzdarren
1155	d2e138989Herder-1854	Darre	Malzdarre
1156	d2e139171Herder-1854	Datarius	Prodatarius
1157	d2e139232Herder-1854	Dativ	Dativus
1159	d2e139591Herder-1854	David [1]	Davidischen
1160	d2e139687Herder-1854	Davidis	Davidisten
1161	d2e139755Herder-1854	Davos	Davoser
1162	d2e140478Herder-1854	Decemvir	quindecemviri
1164	d2e140927Herder-1854	Deck	Dreidecker
1165	d2e141038Herder-1854	Declaration	Declarationsbescheid
1166	d2e141038Herder-1854	Declaration	Declarationsgesuch
1167	d2e141106Herder-1854	Decliv	Declivität
1168	d2e141388Herder-1854	Decret	Decretum
1169	d2e141702Herder-1854	Dee	Aberdeen
1171	d2e141828Herder-1854	Defect	Defectbogen
1172	d2e142181Herder-1854	Deform	Deformation
1173	d2e142355Herder-1854	Degener	Degeneration
1174	d2e142728Herder-1854	Deidesheim	Deidesheimer
1175	d2e142993Herder-1854	Deka	Dekapolis
1176	d2e143080Herder-1854	Dekan [1]	Cardinaldekan
1177	d2e143080Herder-1854	Dekan [1]	Ruraldekane
1178	d2e143080Herder-1854	Dekan [1]	Dekanat
1179	d2e143080Herder-1854	Dekan [1]	Domdekan
1180	d2e143080Herder-1854	Dekan [1]	Dekanates
1181	d2e143080Herder-1854	Dekan [1]	Dekanie
1182	d2e143080Herder-1854	Dekan [1]	Dekanien
1183	d2e143080Herder-1854	Dekan [1]	Stiftsdekans
1184	d2e143080Herder-1854	Dekan [1]	Capitelsdekan
1185	d2e143544Herder-1854	Delf	Delftshaven
1186	d2e143680Herder-1854	Delicat	Delicatesse
1188	d2e144061Herder-1854	Deloyal	Deloyalität
1190	d2e144090Herder-1854	Delphin	Delphinus
1193	d2e145468Herder-1854	Denken	bedenken
1195	d2e145939Herder-1854	Dependent	Dependentien
1197	d2e147700Herder-1854	Desperat	Desperation
1198	d2e147747Herder-1854	Despot	Despotie
1199	d2e147814Herder-1854	Dessert	Dessertweine
1200	d2e147844Herder-1854	Dessin	Dessinateur
1201	d2e148052Herder-1854	Detail	Detailhandel
1202	d2e148052Herder-1854	Detail	Detailliren
1203	d2e148246Herder-1854	Detour	Detourniren
1204	d2e148467Herder-1854	Deuterogam	Deuterogamie
1205	d2e148500Herder-1854	Deutsch	mittelhochdeutsch
1206	d2e148500Herder-1854	Deutsch	althochdeutsch
1207	d2e148500Herder-1854	Deutsch	Nichtdeutschen
1208	d2e148769Herder-1854	Deutschland	Süddeutschland
1209	d2e148769Herder-1854	Deutschland	Mitteldeutschland
1210	d2e148769Herder-1854	Deutschland	Norddeutschland
1211	d2e149122Herder-1854	Devex	Devexität
1212	d2e149229Herder-1854	Devon [1]	Devonʼsches
1213	d2e149242Herder-1854	Devon [2]	Devonshire
1214	d2e149295Herder-1854	Devot	Devotion
1215	d2e149693Herder-1854	Diät	Diätsanordnung
1216	d2e149693Herder-1854	Diät	Diätetik
1217	d2e149898Herder-1854	Diakon	Subdiakon
1218	d2e149898Herder-1854	Diakon	Diakonat
1219	d2e149898Herder-1854	Diakon	Diakoniren
1220	d2e150043Herder-1854	Dialog	Dialogisiren
1222	d2e150505Herder-1854	Diastole	Hypodiastole
1223	d2e150537Herder-1854	Diatherman	Diathermansie
1225	d2e152383Herder-1854	Differenz	Differenzrechnung
1226	d2e152493Herder-1854	Difform	Difformität
1227	d2e153040Herder-1854	Dilettant	Dilettantismus
1228	d2e153458Herder-1854	Dimission	Dimissionär
1230	d2e153657Herder-1854	Ding [1]	Unding
1231	d2e153657Herder-1854	Ding [1]	verdingen
1232	d2e153689Herder-1854	Ding [2]	Schreigeding
1233	d2e154144Herder-1854	Dion	Dionys
1235	d2e154683Herder-1854	Diplom	Diplomatarium
1236	d2e154960Herder-1854	Direction	Directionslinie
1237	d2e155174Herder-1854	Discant	Discantist
1238	d2e155258Herder-1854	Disciplin	Disciplinarisch
1239	d2e155374Herder-1854	Discolor	Discoloration
1240	d2e155476Herder-1854	Discret	Discretionstage
1241	d2e155476Herder-1854	Discret	Discretion
1243	d2e155692Herder-1854	Dispache	Dispacheur
1244	d2e155785Herder-1854	Dispens	Dispensirten
1245	d2e155785Herder-1854	Dispens	Dispensabel
1246	d2e155785Herder-1854	Dispens	Dispensatoren
1247	d2e155785Herder-1854	Dispens	Dispensation
1248	d2e156120Herder-1854	Dissens	Dissension
1250	d2e156752Herder-1854	Divers	Diversität
1251	d2e157406Herder-1854	Doctor	Doctorates
1252	d2e157527Herder-1854	Dodeka	Dodekaëdrisches
1253	d2e157527Herder-1854	Dodeka	Dodekagonalzahlen
1254	d2e157527Herder-1854	Dodeka	Dodekagon
1255	d2e157527Herder-1854	Dodeka	Dodekaëdralzahlen
1256	d2e157527Herder-1854	Dodeka	Dodekaëder
1257	d2e157928Herder-1854	Dogma	Dogmatisch
1258	d2e158139Herder-1854	Dolce	Dolcemente
1259	d2e158236Herder-1854	Dolde	Doldenblüthe
1260	d2e158292Herder-1854	Dolente	Dolentemente
1262	d2e158706Herder-1854	Dominante	Dominantenaccord
1263	d2e158706Herder-1854	Dominante	Unterdominante
1264	d2e158706Herder-1854	Dominante	Oberdominante
1265	d2e159056Herder-1854	Don [1]	Donna
1266	d2e159070Herder-1854	Don [2]	Donez
1267	d2e159183Herder-1854	Donativ	Donativum
1268	d2e159247Herder-1854	Donau	Donauwörth
1269	d2e159247Herder-1854	Donau	Donaueschingen
1270	d2e160499Herder-1854	Dost	Wirbeldosten
1271	d2e160499Herder-1854	Dost	Dosten
1272	d2e160619Herder-1854	Douane	Douanenlinie
1273	d2e161244Herder-1854	Dragun	Esdragun
1274	d2e161263Herder-1854	Draht	Silberdraht
1275	d2e161404Herder-1854	Drama	Dramatiker
1276	d2e161404Herder-1854	Drama	Dramatisch
